,ObsNum,xvs,LABEGRD_ID,UTMX,UTMY,DistRoad,DistTrail,DistRoadTrail,VETH,THIS,NET,MINT,Train,PercentSlope,DegreeDays,Aspect,EvapoTransAve,EvapoTransDiff,MoistIndexAve,MoistIndexDiff,PrecipAve,PrecipDiff,RelHumidAve,RelHumidDiff,PotGlobRadAve,PotGlobRadDiff,AveTempAve,AveTempDiff,DayTempAve,DayTempDiff,MaxTempAve,MaxTempDiff,MinTempAve,MinTempDiff,VapPressDefAve,VapPressDefDiff,SatVapPressAve,SatVapPressDiff,AmbVapPressAve,AmbVapPressDiff,KBvege,Weed,Elevation,TransAspect
11,199,1,59413,620308,4618715,1904,1572,1572,1,1,0,0,1,0.31,27730,0,0.813978495,0.63469022,-7.883960573,-26.4281682,17.01362007,-7.025211214,17.91272401,-1.615290579,618.4849462,261.6941116,23.85689964,17.72904506,28.80071685,18.62263825,47.2296595,21.95832693,0.457168459,13.49920635,19.48387097,8.855017921,40.8266129,15.14104583,21.34274194,6.286027906,8,1,5158,0
12,203,1,60155,624238,4618745,3,100,3,0,1,0,0,1,5.1,29440,84.64,0.844086022,0.650889657,-10.60268817,-26.0031106,15.21155914,-6.10015361,17.5889785,-1.600384025,615.7401434,261.0398362,25.52777778,17.97538403,30.64032258,18.89020737,49.70582437,22.28426139,1.325537634,13.6687276,20.69489247,9.398668715,42.45698925,15.86393369,21.76209677,6.465264977,1,1,4786,0.453293359
13,214,1,61390,624628,4618805,123,199,123,1,0,0,0,1,3.97,29933,92.29,0.85483871,0.656266001,-11.33718638,-25.97206861,14.81039427,-5.902444956,17.52903226,-1.600256016,621.0317204,260.1413979,25.93584229,18.02855863,31.08664875,18.95995904,50.29901434,22.36431132,1.548655914,13.70355863,20.98629032,9.534792627,42.85994624,16.04616616,21.87365591,6.511373528,3,1,4721,0.519978686
14,219,1,61950,623098,4618835,461,563,461,1,0,0,0,1,2.27,28938,53.53,0.824910394,0.642645929,-9.493548387,-26.01679467,15.73736559,-6.363837686,17.6733871,-1.606554019,609.986828,263.0696301,25.05430108,17.90851895,30.11514337,18.82364951,49.00107527,22.19340758,1.088709677,13.62585125,20.3547491,9.246812596,41.99704301,15.66310164,21.64229391,6.416289043,11,1,4886,0.20279909
15,223,1,61991,624328,4618835,16,53,16,0,0,0,1,1,2.94,29660,88.45,0.846774194,0.653577829,-10.84865591,-26.00416027,15.04892473,-6.017869944,17.57526882,-1.605561956,619.6989247,260.871051,25.6938172,17.99930236,30.81998208,18.92792499,49.9452509,22.32435996,1.423566308,13.68499744,20.80385305,9.458307732,42.62043011,15.93995136,21.81657706,6.481643625,1,1,4761,0.486475335
16,236,1,62617,624778,4618865,215,317,215,1,0,0,0,1,6.94,30317,55.22,0.830376344,0.648111879,-10.97222222,-25.53808884,14.42535842,-5.718465182,17.45026882,-1.597151818,588.6527778,267.1065412,26.33324373,18.09315156,31.51388889,19.0186892,50.86774194,22.44198029,1.766487455,13.74385561,21.27992832,9.662295187,43.25725807,16.21440092,21.97732975,6.552105735,3,1,4658,0.214786544
17,237,1,63168,622978,4618895,383,694,383,1,0,0,0,1,2.67,28969,59.62,0.824910394,0.642645929,-9.517921147,-26.00844214,15.71299283,-6.355485151,17.68951613,-1.608954173,609.8518817,262.9403482,25.08960574,17.91109831,30.14507169,18.82622888,49.03915771,22.19876472,1.110483871,13.62565284,20.36021505,9.257366872,42.0188172,15.67096774,21.65860215,6.413600871,6,1,4899,0.247133663
18,250,1,63226,624718,4618895,231,253,231,1,0,0,0,1,7.83,30104,59.03,0.827688172,0.650800051,-10.72356631,-25.69546211,14.590681,-5.79250512,17.4937276,-1.599859191,587.4199821,266.6819573,26.16451613,18.07163339,31.33145161,18.99199309,50.62553763,22.40974782,1.676523298,13.72787378,21.14399642,9.602566564,43.08575269,16.13838326,21.94175627,6.535816692,3,1,4657,0.242705396
19,267,1,63838,624748,4618925,267,282,267,1,0,0,0,1,7.83,30104,59.03,0.827688172,0.650800051,-10.72356631,-25.69546211,14.590681,-5.79250512,17.4937276,-1.599859191,587.4199821,266.6819573,26.16451613,18.07163339,31.33145161,18.99199309,50.62553763,22.40974782,1.676523298,13.72787378,21.14399642,9.602566564,43.08575269,16.13838326,21.94175627,6.535816692,3,1,4642,0.242705396
20,278,1,64450,624778,4618955,302,314,302,1,0,0,0,1,6.14,30406,66.41,0.84390681,0.656266001,-11.4811828,-25.74112903,14.33306452,-5.671505376,17.43933692,-1.600128008,600.2998208,264.4953853,26.42293907,18.10366744,31.61451613,19.02938428,50.99283154,22.4578533,1.823476703,13.74930236,21.3344086,9.689714542,43.34157706,16.24986559,22.00716846,6.56015105,3,1,4627,0.299905445
21,279,1,65003,623038,4618985,381,671,381,1,0,0,0,1,2.77,29000,66.37,0.824910394,0.642645929,-9.539695341,-25.99749104,15.69121864,-6.34453405,17.68405018,-1.614420123,611.4523298,262.2363671,25.11953405,17.9109895,30.18306452,18.82612007,49.08808244,22.20421147,1.121326165,13.62574245,20.37383513,9.270986943,42.0405914,15.68736559,21.66675627,6.416378648,6,1,4882,0.299585599
22,294,1,65656,624298,4619015,46,28,28,1,1,0,1,1,2.18,29629,56.88,0.838530466,0.650889657,-10.56344086,-25.93715438,15.08413979,-6.034197389,17.5781362,-1.605849974,611.6198925,263.3000448,25.66379928,17.99125704,30.77903226,18.91432412,49.89354839,22.31075909,1.409856631,13.68221966,20.78189964,9.444886073,42.59032258,15.92375192,21.80842294,6.478865847,1,1,4754,0.22680282
23,299,1,65666,624598,4619015,139,151,139,1,0,0,0,1,7.12,30063,75.19,0.838530466,0.650889657,-10.99722222,-25.72560804,14.65035842,-5.82265105,17.4938172,-1.59468126,604.3149642,262.7016513,26.10197133,18.0609191,31.26621864,18.98396697,50.53853047,22.39923195,1.641218638,13.72769457,21.1031362,9.580811572,43.02320789,16.11394009,21.92007169,6.53312852,1,1,4676,0.372192741
24,311,1,66272,624448,4619045,38,8,8,1,0,0,1,1,6.23,29781,62.78,0.833154122,0.650889657,-10.58924731,-25.83825525,14.89166667,-5.935298259,17.53189964,-1.600364823,597.446147,265.2805428,25.85976703,18.02628648,31.00224014,18.95222094,50.18476703,22.35390425,1.513261649,13.70088966,20.93163082,9.507482079,42.78637993,16.01338966,21.8547491,6.505907578,1,1,4724,0.27129581
25,318,1,66834,622978,4619075,274,766,274,1,0,0,0,1,2.46,29030,91.84,0.841308244,0.648111879,-10.06684588,-26.15320661,15.6640681,-6.333582949,17.68154122,-1.606464414,620.0891577,259.7301779,25.14946237,17.91894521,30.22114695,18.82850102,49.13163082,22.20650282,1.145788531,13.62823221,20.39820789,9.270986943,42.07858423,15.69263313,21.68037634,6.421646185,6,1,4880,0.516054256
26,336,1,67452,623188,4619105,205,613,205,1,0,0,0,1,2.61,29247,109.53,0.843996416,0.645423707,-10.26675627,-26.009383,15.54749104,-6.273092678,17.65698925,-1.603379416,626.0888889,258.2188812,25.25555556,17.92955069,30.33019713,18.85550435,49.28413979,22.23348694,1.200179212,13.63616872,20.47732975,9.31171915,42.17948029,15.74976319,21.70215054,6.438044035,6,1,4859,0.667150174
27,347,1,68063,623188,4619135,184,633,184,1,0,0,0,1,2.29,29157,123.69,0.843996416,0.645423707,-10.24498208,-26.01198157,15.56926523,-6.275691244,17.6624552,-1.606266001,628.6791219,257.1944765,25.22831541,17.92697133,30.30286738,18.84190348,49.24318996,22.22257425,1.192114695,13.64183308,20.45537634,9.29811828,42.15483871,15.73347414,21.69946237,6.435355863,6,1,4863,0.777349593
28,354,1,68669,623038,4619165,232,691,232,1,0,0,0,1,2.21,29030,111.03,0.843996416,0.645423707,-10.18808244,-26.04232591,15.62616488,-6.306035586,17.67329749,-1.614708141,625.3571685,258.2988031,25.16308244,17.9218126,30.2374552,18.83405658,49.14802867,22.21214798,1.156630824,13.62832181,20.41182796,9.279230671,42.09758065,15.70087686,21.68575269,6.421646185,6,1,4880,0.679428346
29,357,1,68674,623188,4619165,163,655,163,1,0,0,0,1,2.29,29157,123.69,0.843996416,0.645423707,-10.24498208,-26.01198157,15.56926523,-6.275691244,17.6624552,-1.606266001,628.6791219,257.1944765,25.22831541,17.92697133,30.30286738,18.84190348,49.24318996,22.22257425,1.192114695,13.64183308,20.45537634,9.29811828,42.15483871,15.73347414,21.69946237,6.435355863,6,1,4866,0.777349593
30,381,1,69286,623218,4619195,121,657,121,1,0,0,0,1,2.29,29157,123.69,0.843996416,0.645423707,-10.24498208,-26.01198157,15.56926523,-6.275691244,17.6624552,-1.606266001,628.6791219,257.1944765,25.22831541,17.92697133,30.30286738,18.84190348,49.24318996,22.22257425,1.192114695,13.64183308,20.45537634,9.29811828,42.15483871,15.73347414,21.69946237,6.435355863,6,1,4862,0.777349593
31,395,1,69327,624448,4619195,0,113,0,1,0,0,0,1,6.32,30033,74.74,0.841218638,0.653577829,-11.0671147,-25.81729391,14.66379928,-5.831003584,17.49659498,-1.594879672,606.094086,262.9059012,26.08835125,18.05583077,31.25259857,18.98425499,50.51129032,22.39396441,1.635842294,13.72529442,21.09489247,9.58109959,43.01227599,16.11153994,21.91738351,6.530440348,1,1,4678,0.368400191
32,397,1,69329,624508,4619195,28,167,28,1,0,0,0,1,5.89,30135,66.19,0.84390681,0.656266001,-11.25878136,-25.84282514,14.55546595,-5.773201485,17.48835125,-1.602835381,601.0846774,264.5740079,26.19175627,18.07152458,31.36415771,18.99735023,50.66362007,22.41510497,1.698387097,13.72776498,21.16845878,9.624628776,43.11577061,16.16302483,21.94731183,6.538396057,1,1,4658,0.298147501
33,403,1,69904,623428,4619225,50,508,50,1,0,0,0,1,7.54,28807,213.02,0.865770609,0.653469022,-10.66756272,-26.36934204,15.81335125,-6.383051715,17.70869176,-1.59813108,662.2975807,246.1715374,24.89632617,17.88710958,29.94094982,18.79677419,48.76971326,22.16137353,0.996146953,13.612468,20.23234767,9.186706349,41.83369176,15.58670635,21.60134409,6.4,6,1,4845,0.919240218
34,411,1,69941,624538,4619225,71,205,71,1,0,0,0,1,4.83,30165,75.73,0.849462366,0.656266001,-11.47983871,-25.82083333,14.50107527,-5.751209677,17.48288531,-1.59468126,610.5869176,262.5395033,26.22437276,18.07141577,31.3968638,19.00270737,50.70716846,22.42055172,1.712007169,13.73303251,21.19023298,9.624430364,43.14569893,16.1656042,21.95546595,6.541173835,1,1,4642,0.376754187
35,417,1,70507,623188,4619255,101,634,101,1,0,0,0,1,1.92,29157,128.29,0.843996416,0.645423707,-10.25851254,-26.00113927,15.55573477,-6.26484895,17.6624552,-1.606266001,627.4527778,256.7073733,25.22293907,17.9296595,30.30008961,18.84765745,49.23503584,22.23101639,1.192114695,13.64183308,20.45537634,9.29811828,42.15483871,15.73347414,21.69946237,6.435355863,6,1,4870,0.809821012
36,418,1,70508,623218,4619255,79,645,79,1,0,0,0,1,1.92,29157,128.29,0.843996416,0.645423707,-10.25851254,-26.00113927,15.55573477,-6.26484895,17.6624552,-1.606266001,627.4527778,256.7073733,25.22293907,17.9296595,30.30008961,18.84765745,49.23503584,22.23101639,1.192114695,13.64183308,20.45537634,9.29811828,42.15483871,15.73347414,21.69946237,6.435355863,6,1,4864,0.809821012
37,436,1,71124,623368,4619285,50,590,50,1,0,0,0,1,7.75,29218,251.56,0.846774194,0.648201485,-10.37437276,-26.0624808,15.52320789,-6.242857143,17.66514337,-1.603577829,632.8259857,253.4303123,25.24471326,17.93799283,30.31379928,18.85283538,49.26227599,22.23628392,1.194802867,13.64452125,20.46362007,9.306362007,42.16577061,15.74440604,21.70215054,6.438044035,11,1,4851,0.658155736
38,440,1,71164,624568,4619285,136,173,136,1,0,0,0,1,4.83,30165,75.73,0.849462366,0.656266001,-11.47983871,-25.82083333,14.50107527,-5.751209677,17.48288531,-1.59468126,610.5869176,262.5395033,26.22437276,18.07141577,31.3968638,19.00270737,50.70716846,22.42055172,1.712007169,13.73303251,21.19023298,9.624430364,43.14569893,16.1656042,21.95546595,6.541173835,1,1,4640,0.376754187
39,443,1,71721,622948,4619315,71,530,71,1,0,0,0,1,3.3,28969,117.18,0.843996416,0.645423707,-10.1203405,-26.07516001,15.69390681,-6.338869688,17.69498208,-1.608864567,629.9094982,256.7450141,25.08960574,17.91109831,30.15053763,18.82631848,49.03915771,22.19876472,1.115949821,13.62574245,20.35752688,9.260055044,42.02159498,15.67374552,21.6640681,6.413690476,6,1,4884,0.728393702
40,449,1,71774,624538,4619315,145,159,145,1,0,0,0,1,4.14,30165,85.6,0.860394265,0.661821557,-11.82670251,-25.97636969,14.4875448,-5.740079365,17.48288531,-1.59468126,617.3306452,261.0517409,26.24345878,18.07956989,31.41308244,19.00261777,50.72894265,22.42601767,1.725537634,13.73563108,21.19829749,9.63249488,43.15913979,16.17366872,21.96084229,6.541173835,1,1,4640,0.461640473
41,450,1,71775,624568,4619315,160,146,146,1,0,0,0,1,4.14,30165,85.6,0.860394265,0.661821557,-11.82670251,-25.97636969,14.4875448,-5.740079365,17.48288531,-1.59468126,617.3306452,261.0517409,26.24345878,18.07956989,31.41308244,19.00261777,50.72894265,22.42601767,1.725537634,13.73563108,21.19829749,9.63249488,43.15913979,16.17366872,21.96084229,6.541173835,1,1,4639,0.461640473
42,461,1,72937,622768,4619375,62,435,62,0,0,0,1,1,0.15,28899,180,0.824910394,0.642645929,-9.385215054,-26.07699693,15.84569893,-6.424039939,17.71415771,-1.609261393,616.88181,258.1561124,24.94811828,17.89244752,29.99811828,18.80211214,48.8296595,22.17486559,1.04516129,13.61502816,20.25412186,9.211347926,41.88270609,15.61392729,21.62858423,6.402579365,15,1,4928,1
43,463,1,72939,622828,4619375,30,448,30,0,0,0,1,1,3.97,28899,163.73,0.849462366,0.650889657,-10.16236559,-26.30213774,15.81854839,-6.399180748,17.70869176,-1.609350998,644.5064516,251.7887417,24.9672043,17.8922491,30.0172043,18.80729007,48.85689964,22.17744496,1.061379928,13.61225038,20.27320789,9.219502048,41.90179212,15.62208141,21.62858423,6.402579365,15,1,4917,0.979976052
44,464,1,72940,622858,4619375,14,452,14,0,0,0,1,1,3.97,28899,163.73,0.849462366,0.650889657,-10.16236559,-26.30213774,15.81854839,-6.399180748,17.70869176,-1.609350998,644.5064516,251.7887417,24.9672043,17.8922491,30.0172043,18.80729007,48.85689964,22.17744496,1.061379928,13.61225038,20.27320789,9.219502048,41.90179212,15.62208141,21.62858423,6.402579365,15,1,4912,0.979976052
45,479,1,74164,622918,4619435,22,407,22,0,0,0,1,1,5.74,28929,140.59,0.857616488,0.653667435,-10.48001792,-26.3500384,15.75089606,-6.36374808,17.68422939,-1.609152586,650.264785,250.5993408,25.01344086,17.90038403,30.07168459,18.81829237,48.925,22.19353559,1.077777778,13.61491936,20.31944444,9.235701485,41.95636201,15.64661418,21.63691756,6.410912698,15,1,4913,0.886311377
46,480,1,74204,624118,4619435,32,129,32,0,0,0,1,1,3.49,30004,48.69,0.835842294,0.648201485,-10.83001792,-25.68328213,14.73422939,-5.863658474,17.5155914,-1.600256016,602.068638,264.4219854,26.0311828,18.04751664,31.18181004,18.97891705,50.41057348,22.38873528,1.624820789,13.71427291,21.04865591,9.567588326,42.95232975,16.08969534,21.90367384,6.522107015,6,1,4691,0.169933605
47,490,1,76048,624448,4619525,12,43,12,0,0,0,1,1,3.34,30287,64.65,0.852240143,0.659043779,-11.63637993,-25.85751408,14.42786738,-5.704557092,17.46657706,-1.608192524,609.4968638,263.3800627,26.29784946,18.09048259,31.4812724,19.018798,50.80519713,22.44488607,1.763709677,13.74107783,21.24740143,9.657117256,43.22464158,16.20913339,21.97724014,6.552016129,6,1,4639,0.285926661
48,496,1,76659,624448,4619555,42,16,16,0,0,0,1,1,3.34,30287,64.65,0.852240143,0.659043779,-11.63637993,-25.85751408,14.42786738,-5.704557092,17.46657706,-1.608192524,609.4968638,263.3800627,26.29784946,18.09048259,31.4812724,19.018798,50.80519713,22.44488607,1.763709677,13.74107783,21.24740143,9.657117256,43.22464158,16.20913339,21.97724014,6.552016129,3,1,4635,0.285926661
49,507,1,77871,624148,4619615,26,28,26,0,0,0,1,1,3.14,30063,47.04,0.84390681,0.656266001,-11.18037634,-25.87836662,14.63387097,-5.80874296,17.51272401,-1.613767281,603.9638889,264.7143625,26.1155914,18.06378648,31.27706093,18.99498848,50.53575269,22.4046979,1.668458781,13.72518561,21.1031362,9.599987199,43.03951613,16.13042755,21.93637993,6.530440348,6,1,4658,0.159256189
50,508,1,77872,624178,4619615,17,43,17,0,0,0,1,1,3.14,30063,47.04,0.84390681,0.656266001,-11.18037634,-25.87836662,14.63387097,-5.80874296,17.51272401,-1.613767281,603.9638889,264.7143625,26.1155914,18.06378648,31.27706093,18.99498848,50.53575269,22.4046979,1.668458781,13.72518561,21.1031362,9.599987199,43.03951613,16.13042755,21.93637993,6.530440348,6,1,4656,0.159256189
51,514,1,84589,624058,4619945,314,202,202,1,0,0,0,1,3.26,30346,48.94,0.846684588,0.659043779,-11.51326165,-25.83514465,14.384319,-5.68218766,17.46111111,-1.594662058,604.0859319,265.3054532,26.34139785,18.09295315,31.52473118,19.0187788,50.84874552,22.44735663,1.804480287,13.7437468,21.26370968,9.654429084,43.26272401,16.21449053,21.99901434,6.560061444,8,1,4638,0.171575495
52,517,1,85200,624058,4619975,343,232,232,1,0,0,0,1,3.26,30346,48.94,0.846684588,0.659043779,-11.51326165,-25.83514465,14.384319,-5.68218766,17.46111111,-1.594662058,604.0859319,265.3054532,26.34139785,18.09295315,31.52473118,19.0187788,50.84874552,22.44735663,1.804480287,13.7437468,21.26370968,9.654429084,43.26272401,16.21449053,21.99901434,6.560061444,8,1,4636,0.171575495
53,524,1,85814,624148,4620005,362,278,278,1,0,0,0,1,2.58,30256,47.48,0.846684588,0.653488223,-11.43189964,-25.70410906,14.465681,-5.71781874,17.48566308,-1.600038402,607.2282258,264.6861943,26.26523298,18.08761521,31.4375448,19.00797491,50.75071685,22.43406298,1.758154122,13.73552227,21.20367384,9.629697901,43.18091398,16.18171403,21.97724014,6.552016129,8,1,4626,0.162076232
54,546,1,98580,622198,4620635,58,693,58,1,0,0,0,1,1.35,29781,20.55,0.846774194,0.653577829,-10.92526882,-25.96768433,14.97231183,-5.981394009,17.56451613,-1.597785458,611.1994624,263.6072133,25.89238351,18.02617768,31.01586022,18.95748848,50.14946237,22.36494496,1.602956989,13.69778546,20.90448029,9.502304148,42.80268817,16.01894521,21.89820789,6.516641065,6,1,4716,0.031816889
55,551,1,99191,622198,4620665,75,668,75,1,0,0,0,1,0.4,29840,78.69,0.852150538,0.658954173,-11.1109319,-26.13155402,14.95331541,-5.97859703,17.55913979,-1.594809268,620.0620072,261.2674219,25.90062724,18.03144521,31.02939068,18.95191372,50.17123656,22.36761393,1.605734767,13.70056324,20.9125448,9.496639785,42.81353047,16.01605863,21.90098566,6.519418843,6,1,4719,0.401941343
56,565,1,100417,622318,4620725,208,556,208,1,0,0,0,1,0.67,29840,45,0.849462366,0.656266001,-11.03306452,-26.04831029,14.94784946,-5.978686636,17.55913979,-1.594809268,617.2515233,261.9961982,25.90062724,18.03144521,31.02939068,18.95191372,50.17123656,22.36761393,1.605734767,13.70056324,20.9125448,9.496639785,42.81353047,16.01605863,21.90098566,6.519418843,6,1,4714,0.146446605
57,568,1,100977,620788,4620755,74,134,74,0,1,0,0,1,2.81,29247,16.38,0.819444444,0.642556324,-9.308781362,-26.06285202,15.75546595,-6.409895033,17.69229391,-1.608864567,599.999552,266.5794419,25.26379928,17.92944188,30.33288531,18.85281618,49.21621864,22.23657194,1.289874552,13.63306452,20.43646953,9.298207885,42.18216846,15.74707501,21.74569893,6.448867128,12,1,4862,0.020293763
58,572,1,101027,622288,4620755,199,544,199,1,0,0,0,1,0.65,29871,104.03,0.85483871,0.656266001,-11.21594982,-26.03717998,14.93163082,-5.967556324,17.56451613,-1.600185612,621.9433692,260.7123464,25.90869176,18.03413339,31.04032258,18.95729007,50.18763441,22.37548003,1.611111111,13.70056324,20.9233871,9.512858423,42.82706093,16.02958909,21.90367384,6.516730671,6,1,4717,0.621214939
59,575,1,101630,622048,4620785,4,677,4,0,0,0,0,1,1.96,29751,104.03,0.85483871,0.656266001,-11.06962366,-26.10871096,15.07795699,-6.039087302,17.58888889,-1.611693548,624.08181,259.9865783,25.80797491,18.01815156,30.92607527,18.93853047,50.02428315,22.34887353,1.562096774,13.68965054,20.83655914,9.483416539,42.71836918,15.98365975,21.88181004,6.500243216,8,1,4729,0.621214939
60,594,1,104024,620548,4620905,302,132,132,1,0,0,0,1,2.83,29218,51.84,0.827598566,0.645334101,-9.496415771,-26.17633129,15.81783154,-6.440040963,17.70044803,-1.60906298,607.4129032,264.3666539,25.24193548,17.93223886,30.30008961,18.84468126,49.17258065,22.23103559,1.28172043,13.63326293,20.42007169,9.29016257,42.15761649,15.73625192,21.7375448,6.44608935,11,1,4852,0.191070187
61,596,1,104026,620608,4620905,289,176,176,1,0,0,0,1,2.83,29218,51.84,0.827598566,0.645334101,-9.496415771,-26.17633129,15.81783154,-6.440040963,17.70044803,-1.60906298,607.4129032,264.3666539,25.24193548,17.93223886,30.30008961,18.84468126,49.17258065,22.23103559,1.28172043,13.63326293,20.42007169,9.29016257,42.15761649,15.73625192,21.7375448,6.44608935,11,1,4847,0.191070187
62,605,1,104736,623578,4620935,184,61,61,0,1,0,0,1,2.4,30406,124.21,0.873924731,0.666999488,-12.49874552,-25.99413082,14.23216846,-5.591173835,17.45295699,-1.60281618,630.2094086,258.2296787,26.46935484,18.11986687,31.65268817,19.04827189,51.01209677,22.48518305,1.905107527,13.7515745,21.33996416,9.706022786,43.38799283,16.28237327,22.04802867,6.576350486,8,1,4560,0.781113846
63,611,1,105979,624208,4620995,331,51,51,1,0,0,0,1,1.46,30733,67.61,0.868458781,0.664509729,-12.71971326,-25.7047555,13.84453405,-5.385131848,17.3984767,-1.60797491,616.621147,262.1576037,26.74139785,18.15179212,31.95743728,19.09659498,51.42562724,22.54142345,2.033064516,13.77837942,21.55224014,9.803993856,43.66290323,16.41025346,22.11066308,6.606259601,8,1,4535,0.309545487
64,616,1,106591,624238,4621025,362,9,9,1,0,0,0,1,1.21,30763,78.69,0.871236559,0.667287506,-12.87903226,-25.74123784,13.76854839,-5.33828085,17.40107527,-1.607885305,618.9605735,261.5123912,26.78763441,18.15992704,32.00376344,19.10481951,51.49094982,22.54935996,2.060215054,13.78671275,21.57679212,9.814637737,43.70645161,16.42645289,22.1296595,6.611815156,8,1,4531,0.401941343
65,625,1,108375,622768,4621115,650,31,31,0,1,0,0,1,2.31,30135,95.9,0.860394265,0.661821557,-11.72697133,-26.00875576,14.58727599,-5.772465438,17.51550179,-1.608698157,622.08181,260.4331925,26.20537634,18.07439196,31.35609319,19.00828213,50.60394265,22.42912186,1.771774194,13.72734895,21.13037634,9.616583461,43.11586022,16.16849078,21.98548387,6.551907322,12,1,4640,0.551396254
